"phenotype","symptom","ICD10Code"
"Neuropsychiatric","general pain, fatigue, malaise","R53.1"
"Neuropsychiatric","anxiety","F41.3"
"Digestive","incontinence, irritable bowel syndrome","K58.1"
"Neuropsychiatric","sleep disturbance","G47.53"
"Neuropsychiatric","anxiety","F41.9"
"Neuropsychiatric","general pain, fatigue, malaise","G44.41"
"Digestive","loss of appetite","R63.0"
"Cardiopulmonary","major cardiac dysfunction","I50.42"
"Cardiopulmonary","vascular disease","I70.262"
"Cardiopulmonary","abnormal heart rate","I48.91"
"Cardiopulmonary","vascular disease","I70.241"
"Cardiopulmonary","vascular disease","I70.245"
"Cardiopulmonary","major cardiac dysfunction","I46.2"
"Neuropsychiatric","depression","F33.41"
"Neuropsychiatric","sensory changes","H81.393"
"Cardiopulmonary","cardiac inflammation","I42.4"
"Neuropsychiatric","brain fog","F01.50"
"Cardiopulmonary","major cardiac dysfunction","I50.21"
"Cardiopulmonary","vascular disease","I70.0"
"Neuropsychiatric","general pain, fatigue, malaise","G43.B0"
"Neuropsychiatric","general pain, fatigue, malaise","R53.82"
"Neuropsychiatric","depression","F32.2"
"Cardiopulmonary","cough","R05.2"
"Cardiopulmonary","chest pain","I20.9"
"Cardiopulmonary","abnormal heart rate","I48.20"
"Neuropsychiatric","general pain, fatigue, malaise","G44.1"
"Neuropsychiatric","brain fog","R41.0"
"Cardiopulmonary","major cardiac dysfunction","I50.40"
"Cardiopulmonary","chest pain","R07.2"
"Cardiopulmonary","major cardiac dysfunction","I21.11"
"Cardiopulmonary","cough","R05.3"
"Cardiopulmonary","major cardiac dysfunction","I21.29"
"Neuropsychiatric","sleep disturbance","G47.9"
"Cardiopulmonary","vascular disease","I70.233"
"Neuropsychiatric","general pain, fatigue, malaise","G44.51"
"Cardiopulmonary","vascular disease","I70.92"
"Cardiopulmonary","vascular disease","I70.203"
"Cardiopulmonary","major cardiac dysfunction","I50.812"
"Cardiopulmonary","cardiac inflammation","I40.0"
"Cardiopulmonary","vascular disease","I70.212"
"Cardiopulmonary","chest pain","I20.0"
"Cardiopulmonary","vascular disease","I70.219"
"Cardiopulmonary","abnormal heart rate","I48.92"
"Cardiopulmonary","abnormal heart rate","I47.19"
"Neuropsychiatric","general pain, fatigue, malaise","G44.201"
"Neuropsychiatric","anxiety","F41.8"
"Neuropsychiatric","sensory changes","R44.1"
"Cardiopulmonary","cardiac inflammation","I42.0"
"Cardiopulmonary","vascular disease","I70.201"
"Cardiopulmonary","vascular disease","I70.243"
"Neuropsychiatric","general pain, fatigue, malaise","R50.81"
"Cardiopulmonary","vascular disease","I70.261"
"Cardiopulmonary","vascular disease","I70.202"
"Neuropsychiatric","general pain, fatigue, malaise","G43.409"
"Neuropsychiatric","sensory changes","R43.0"
"Cardiopulmonary","abnormal breathing","R06.3"
"Cardiopulmonary","vascular disease","I70.1"
